file,model,method,case_id,is_wrong,category,severity,agent_id,round
detector_traces_qa_specialized_board_deepseek.jsonl,DeepSeek,Role-Specialist Board,4,False,other,high,Agent_Diagnostician,r1
detector_traces_qa_specialized_board_deepseek.jsonl,DeepSeek,Role-Specialist Board,4,False,other,high,Agent_Evidence,r1
detector_traces_qa_specialized_board_deepseek.jsonl,DeepSeek,Role-Specialist Board,4,False,other,high,Agent_Treatment,r1
detector_traces_qa_specialized_board_deepseek.jsonl,DeepSeek,Role-Specialist Board,4,False,other,high,Agent_Diagnostician,r2
detector_traces_qa_specialized_board_deepseek.jsonl,DeepSeek,Role-Specialist Board,4,False,other,high,Agent_Evidence,r2
detector_traces_qa_specialized_board_deepseek.jsonl,DeepSeek,Role-Specialist Board,4,False,other,high,Agent_Treatment,r2
detector_traces_qa_specialized_board_deepseek.jsonl,DeepSeek,Role-Specialist Board,5,False,other,high,Agent_Diagnostician,r1
detector_traces_qa_specialized_board_deepseek.jsonl,DeepSeek,Role-Specialist Board,5,False,other,high,Agent_Evidence,r1
detector_traces_qa_specialized_board_deepseek.jsonl,DeepSeek,Role-Specialist Board,5,False,other,high,Agent_Treatment,r1
detector_traces_qa_specialized_board_deepseek.jsonl,DeepSeek,Role-Specialist Board,5,False,other,high,Agent_Diagnostician,r2
detector_traces_qa_specialized_board_deepseek.jsonl,DeepSeek,Role-Specialist Board,5,False,other,high,Agent_Evidence,r2
detector_traces_qa_specialized_board_deepseek.jsonl,DeepSeek,Role-Specialist Board,5,False,other,high,Agent_Treatment,r2
detector_traces_qa_specialized_board_deepseek.jsonl,DeepSeek,Role-Specialist Board,11,False,contradiction,high,Agent_Diagnostician,r1
detector_traces_qa_specialized_board_deepseek.jsonl,DeepSeek,Role-Specialist Board,11,False,contradiction,high,Agent_Evidence,r1
detector_traces_qa_specialized_board_deepseek.jsonl,DeepSeek,Role-Specialist Board,11,False,contradiction,high,Agent_Treatment,r1
detector_traces_qa_specialized_board_deepseek.jsonl,DeepSeek,Role-Specialist Board,11,False,error_propagation,medium,Agent_Diagnostician,r2
