file,model,method,case_id,dataset,gold_label,aggregated_answer,is_wrong,detection_mode,hallucinated_evidence_rate,reasoning_alignment_r1,reasoning_alignment_r2,answer_agreement_r1,answer_agreement_r2,consensus_illusion_flag,n_sycophantic_flip_agents,n_contradiction_flags,n_llm_findings,n_other_findings,n_findings_total,n_agents,reasoning_alignment_delta,answer_agreement_delta
detector_traces_qa_specialized_board_deepseek.jsonl,DeepSeek,Role-Specialist Board,1,qa,A,A,False,llm,0.0,0.393,0.58,1.0,1.0,False,0,0,0,0,0,3,0.18699999999999994,0.0
detector_traces_qa_specialized_board_deepseek.jsonl,DeepSeek,Role-Specialist Board,2,qa,A,A,False,llm,0.0,0.326,0.579,1.0,1.0,False,0,0,0,0,0,3,0.25299999999999995,0.0
detector_traces_qa_specialized_board_deepseek.jsonl,DeepSeek,Role-Specialist Board,3,qa,B,B,False,llm,0.0,0.376,0.695,1.0,1.0,False,0,0,0,0,0,3,0.31899999999999995,0.0
detector_traces_qa_specialized_board_deepseek.jsonl,DeepSeek,Role-Specialist Board,4,qa,A,A,False,llm,0.0,0.373,0.58,1.0,1.0,False,0,0,6,6,12,3,0.20699999999999996,0.0
detector_traces_qa_specialized_board_deepseek.jsonl,DeepSeek,Role-Specialist Board,5,qa,B,B,False,llm,0.0,0.508,0.516,1.0,1.0,False,0,0,6,6,12,3,0.008000000000000007,0.0
detector_traces_qa_specialized_board_deepseek.jsonl,DeepSeek,Role-Specialist Board,6,qa,D,D,False,llm,0.0,0.441,0.483,1.0,1.0,False,0,0,0,0,0,3,0.04199999999999998,0.0
detector_traces_qa_specialized_board_deepseek.jsonl,DeepSeek,Role-Specialist Board,7,qa,B,B,False,llm,0.0,0.375,0.476,1.0,1.0,False,0,0,0,0,0,3,0.10099999999999998,0.0
detector_traces_qa_specialized_board_deepseek.jsonl,DeepSeek,Role-Specialist Board,8,qa,D,D,False,llm,0.0,0.402,0.528,1.0,1.0,False,0,0,0,0,0,3,0.126,0.0
detector_traces_qa_specialized_board_deepseek.jsonl,DeepSeek,Role-Specialist Board,9,qa,H,H,False,llm,0.0,0.426,0.449,1.0,1.0,False,0,0,0,0,0,3,0.02300000000000002,0.0
detector_traces_qa_specialized_board_deepseek.jsonl,DeepSeek,Role-Specialist Board,10,qa,G,G,False,llm,0.0,0.443,0.603,1.0,1.0,False,0,0,0,0,0,3,0.15999999999999998,0.0
